specification,outcome,break_month,coef_level,pval_level,coef_slope,pval_slope,directional_coef
role_top_score_recent90,recent_entrant_90d_share,2021-12,0.040952066045358324,0.0002059389543049959,0.002698858668518376,6.870277808132914e-06,0.002698858668518376
role_top_score_recent90,recent_entrant_90d_share,2022-01,0.03784808541504416,0.00021423740395228963,0.0023526812299266998,0.00012746382000978826,0.0023526812299266998
role_top_score_recent90,recent_entrant_90d_share,2022-02,0.0339564809569636,0.002544225884888382,0.0020322674487670204,0.0011366233023320125,0.0020322674487670204
role_top_score_recent90,recent_entrant_90d_share,2022-03,0.028016066619895343,0.016871213173855874,0.0017750320548259014,0.006740701791932746,0.0017750320548259014
role_top_score_recent90,recent_entrant_90d_share,2022-04,0.024400353147663166,0.024545333062141503,0.001578972951449713,0.02362360973364254,0.001578972951449713
role_top_score_recent90,recent_entrant_90d_share,2022-05,0.018959247874739345,0.05338069503473541,0.0014445595385118135,0.04892449159407164,0.0014445595385118135
role_top_score_recent90,recent_entrant_90d_share,2022-06,0.01649394208495473,0.06390735923397695,0.0013401698593467446,0.079668580859258,0.0013401698593467446
role_top_score_recent90,recent_entrant_90d_share,2022-07,0.014120005184194338,0.10040192455763619,0.001265640557459484,0.10508127690951743,0.001265640557459484
role_top_score_recent90,recent_entrant_90d_share,2022-08,0.01539009605221169,0.02497808223003965,0.0011668333798637363,0.1350709301500911,0.0011668333798637363
role_top_score_recent90,recent_entrant_90d_share,2022-09,0.014133318229107166,0.044125086758744395,0.0011002898209134893,0.1679248693711839,0.0011002898209134893
role_top_score_recent90,recent_entrant_90d_share,2022-10,0.01557356562251624,0.005696504502745196,0.000995217681375623,0.22051909925895785,0.000995217681375623
role_top_score_recent90,recent_entrant_90d_share,2022-11,0.014516607558244916,0.01750249952968935,0.000938285184986727,0.26013602118302004,0.000938285184986727
role_top_score_recent90,recent_entrant_90d_share,2022-12,0.014000991678731336,0.0481466356625291,0.0008790786880164273,0.2871265881870765,0.0008790786880164273
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-07,0.03354308447360466,0.32396717224415694,0.023777209381715177,0.032411519493029804,0.023777209381715177
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-08,0.022370654724215355,0.5190109652322032,0.017720233011284846,0.04357618063164032,0.017720233011284846
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-09,0.023043062872190795,0.4833012560551134,0.01507783381425669,0.02654787604719237,0.01507783381425669
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-10,0.030616175317096702,0.3083281486196757,0.013867935120391597,0.007680363256202914,0.013867935120391597
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-11,0.03368775652710017,0.23125448633423684,0.012357887009081867,0.002572936643843798,0.012357887009081867
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2020-12,0.039493221007837316,0.11952568346349898,0.011367021742083948,0.000431165344038921,0.011367021742083948
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-01,0.039308922890074885,0.1325646188537341,0.010018409212613143,0.00030000720042606537,0.010018409212613143
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-02,0.04118109595348352,0.08189122578776879,0.009007971729206362,1.9666804915940647e-05,0.009007971729206362
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-03,0.047668329602284586,0.015122236218598407,0.008414439713947461,2.6770616573015968e-08,0.008414439713947461
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-04,0.04658524201205776,0.001263256649935715,0.007369842439945776,1.2287509927833029e-12,0.007369842439945776
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-05,0.05070612293346461,4.459060638133163e-05,0.0067558918493755725,1.2160740757889913e-14,0.0067558918493755725
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-06,0.055981093229607835,2.1059549406017374e-05,0.006209942791125277,1.5713008897269815e-15,0.006209942791125277
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-07,0.06075872069936244,2.267899037708695e-05,0.005655091591562404,6.640467095034152e-17,0.005655091591562404
role_asymmetry_first_positive_vs_accepted,recent_entrant_90d_share,2021-08,0.05514362500358444,4.8919952037023174e-05,0.00480210336608682,5.307454661382424e-16,0.00480210336608682
